Date,Price,Open,High,Low,Vol.,Change %
2024-11-26,174795.72178199998,173619.777474,175271.69924,173619.777474,20.0,1.23
2024-11-27,182635.350502,179191.5136,184511.26166,178995.522882,30.0,4.49
2024-11-29,180115.469842,187311.12906,187591.1158,181599.399564,1140.0,-1.38
2024-12-02,167544.065216,178127.563988,178127.563988,166648.107648,30.0,-6.98
2024-12-03,166704.10499599998,167068.087758,169923.952506,164492.20975,50.0,-0.5
2024-12-04,171323.886206,171687.86896800002,171687.86896800002,171239.89018400002,20.0,2.77
2024-12-05,176811.62631,174011.75891,174963.713826,172387.83581800002,0.0,3.2
2024-12-06,186191.1821,176923.621006,185743.203316,175663.680676,26340.0,5.3
2024-12-09,186079.187404,186079.187404,186079.187404,186079.187404,27650.0,-0.06
2024-12-10,187955.098562,192546.881098,194506.78827800002,192462.885076,20.0,1.01
2024-12-11,180143.468516,180143.468516,180143.468516,180143.468516,23420.0,-4.16
2024-12-12,180647.444648,180647.444648,180647.444648,180647.444648,17450.0,0.28
2024-12-13,179667.491058,179667.491058,179667.491058,179667.491058,15430.0,-0.54
2024-12-16,184091.28154999999,183811.29481,183811.29481,183811.29481,0.0,2.46
2024-12-17,182243.36906599998,180647.444648,180647.444648,180647.444648,0.0,-1.0
2024-12-18,186555.16486199998,186555.16486199998,186555.16486199998,186555.16486199998,17910.0,2.37
2024-12-19,181291.41415,186275.17812199998,191398.935464,180031.47381999998,26440.0,-2.82
2024-12-20,181991.381,182271.36774,184511.26166,178631.54012,15020.0,0.39
2024-12-23,183251.32133,181991.381,184651.25503,179667.491058,10320.0,0.69
2024-12-24,184007.285528,183139.326634,184539.260334,180339.459234,7210.0,0.41
2024-12-26,181795.39028199998,184791.2484,185631.20862,180507.45127800002,7160.0,-1.2
2024-12-27,180675.44332199998,181235.416802,182271.36774,178295.556032,11070.0,-0.62
2024-12-30,179751.48708,180395.45658199998,181347.411498,177399.598464,12650.0,-0.51
2024-12-31,179051.52023,178547.544098,179919.479124,174795.72178199998,14690.0,-0.39
2025-01-02,183027.33193800002,180059.47249400002,184679.253704,179051.52023,14740.0,2.22
2025-01-03,178435.54940199998,181851.38763,182691.34785,177875.575922,11890.0,-2.51
2025-01-06,178407.550728,178435.54940199998,184007.285528,177539.591834,15990.0,-0.02
2025-01-07,179471.50034,179555.49636199998,180927.431388,177931.57327,12720.0,0.6
2025-01-08,177203.607746,179555.49636199998,181599.399564,176335.64885199998,21110.0,-1.26
2025-01-09,178351.55338,179751.48708,180311.46056,177315.60244199997,14250.0,0.65
2025-01-10,181347.411498,178911.52686,182467.358458,177931.57327,15990.0,1.68
2025-01-13,182523.35580599998,180815.436692,186947.146298,180367.457908,19360.0,0.65
2025-01-14,180283.461886,182271.36774,184147.27889800002,179779.485754,16250.0,-1.23
2025-01-15,185043.236466,180591.4473,185463.216576,179779.485754,12300.0,2.64
2025-01-16,183195.32398199997,185099.233814,185939.19403400001,182103.375696,12580.0,-1.0
2025-01-17,183867.292158,184175.277572,186163.183426,182495.35713199998,12500.0,0.37
2025-01-21,183559.306744,185015.237792,188291.08265,183167.325308,16309.999999999998,-0.17
2025-01-22,191426.934138,185463.216576,192042.904966,183391.3147,20010.0,4.29
2025-01-23,192602.878446,191510.93016,195374.74717199997,189747.01369800002,20100.0,0.61
2025-01-24,194618.782974,193190.8506,195878.723304,191454.93281199998,13670.0,1.05
2025-01-27,195542.739216,195290.75115,199098.570814,193302.84529599998,19560.0,0.47
2025-01-28,200190.5191,197418.65037400002,200974.48197199998,194198.802864,15980.0,2.38
2025-01-29,205258.279094,201730.44617,206882.20218599998,201142.474016,22490.0,2.53
2025-01-30,209094.09743199998,206070.24064,211026.00593800002,204586.310918,20670.0,1.87
2025-01-31,211585.979418,212789.9224,213377.894554,205062.28837599998,25870.0,1.19
2025-02-03,213293.898532,210466.032458,217801.685046,209094.09743199998,25160.0,0.81
2025-02-04,214665.833558,215645.787148,218333.65985199998,213293.898532,19980.0,0.64
2025-02-05,222729.45167,216093.76593199998,224605.362828,213685.87996800002,26190.0,3.76
2025-02-06,226201.287246,225109.33896,230289.09365,223261.426476,25380.0,1.56
2025-02-07,226425.276638,225809.30581,231801.022046,223961.393326,25610.0,0.1
2025-02-10,235804.83242800002,224073.388022,237484.752868,224073.388022,36680.0,4.14
2025-02-11,226453.27531199998,237988.729,240760.59772599998,224577.364154,35480.0,-3.97
2025-02-12,235300.85629599998,227321.234206,235832.831102,226957.251444,28360.0,3.91
2025-02-13,238044.726348,233508.94116,238940.68391599998,230961.061826,28270.0,1.17
2025-02-14,228133.195752,236448.80193,237372.75817199997,223345.422498,27180.0,-4.16
2025-02-18,226929.25277,227349.23288,229169.14669,219145.62139800002,33570.0,-0.53
2025-02-19,230653.076412,230149.10027999998,237708.74226,229281.141386,24490.0,1.64
2025-02-20,218333.65985199998,229701.12149599998,229701.12149599998,216625.74073800002,29230.0,-5.34
2025-02-21,217969.67709,218389.6572,220629.55112,214945.820298,16850.0,-0.17
2025-02-24,215477.79510400002,217969.67709,219733.59355199998,212901.917096,14260.0,-1.14
2025-02-25,210494.03113199997,215477.79510400002,216037.768584,207330.18097,19950.0,-2.31
2025-02-26,210102.049696,208758.113344,211417.98737400002,205118.28572400002,14590.0,-0.19
2025-02-27,209206.09212800002,208086.14516800002,214273.85212199998,206658.212794,12180.0,-0.43
2025-02-28,208898.106714,209934.057652,212257.947594,207022.195556,12800.0,-0.15
2025-03-03,216513.74604199998,210382.036436,218361.65852599998,210382.036436,15930.0,3.65
2025-03-04,223093.43443199998,218305.661178,224857.350894,215925.77388800003,19500.0,3.04
2025-03-05,229561.128126,225109.33896,234376.900054,225109.33896,21230.0,2.9
2025-03-06,216793.73278199998,226817.258074,228413.182492,216009.76991,20870.0,-5.56
2025-03-07,215253.80571199997,217829.68372,219537.602834,212257.947594,16309.999999999998,-0.71
2025-03-10,215029.81631999998,216709.73676,219285.614768,213265.89985800002,12980.0,-0.1
2025-03-11,220489.55775,215421.79775599999,221469.51134,213909.86936,13050.0,2.54
2025-03-12,216569.74339,220629.55112,221973.48747199998,214553.83886199998,17150.0,-1.78
2025-03-13,215981.771236,217717.689024,219341.612116,211138.000634,18700.0,-0.27
2025-03-14,213965.86670800002,213965.86670800002,213965.86670800002,213965.86670800002,16670.0,-0.93
2025-03-17,218025.67443800002,214329.84947,214329.84947,214329.84947,10.0,1.9
2025-03-18,216793.73278199998,216149.76327999998,219481.605486,214861.824276,20.0,-0.57
2025-03-19,220965.53520800002,220713.547142,220713.547142,220685.54846800002,20.0,1.92
2025-03-20,219593.600182,217997.675764,222645.455648,216177.76195400002,14040.0,-0.62
2025-03-21,219173.620072,219509.60416,221609.50471,216429.75002,12380.0,-0.19
2025-03-24,220293.567032,219201.618746,225333.32835199998,218725.641288,13310.0,0.51
2025-03-25,223177.43045400002,220321.565706,224549.36548,219565.60150800002,12350.0,1.31
2025-03-26,219509.60416,223989.392,227013.248792,217577.695654,14380.0,-1.64
2025-03-27,212117.95422400002,219509.60416,219565.60150800002,210326.03908800002,21790.0,-3.37
2025-03-28,212761.92372599998,213237.90118400002,215477.79510400002,211417.98737400002,15500.0,0.3
2025-03-31,212649.92903,212789.9224,216373.75267199997,211977.960854,14170.0,-0.05
2025-04-01,217857.682394,212369.94229,219201.618746,208450.12793,18430.0,2.45
2025-04-02,217745.68769800002,217857.682394,220461.559076,213993.865382,13890.0,-0.05
2025-04-03,215729.78317,216373.75267199997,218949.63068,211054.004612,16450.0,-0.93
2025-04-04,204782.301636,216457.748694,218025.67443800002,204334.32285199998,24920.0,-5.07
2025-04-07,193078.855904,202990.3865,204110.33346,189607.020328,37080.0,-5.72
2025-04-08,192014.906292,193190.8506,196074.71402199997,190670.96994,25850.0,-0.55
2025-04-09,191342.938116,191034.95270199998,198090.61854999998,182103.375696,28740.0,-0.35
2025-04-10,191986.907618,201646.450148,202430.41302,191594.926182,20190.0,0.34
2025-04-11,200302.51379599998,193722.825406,201982.434236,191286.940768,23380.0,4.33
2025-04-14,200750.49258,200190.5191,203746.35069800002,197166.662308,19260.0,0.22
2025-04-15,205594.263182,202038.431584,207414.176992,202038.431584,19850.0,2.41
2025-04-16,209318.086824,204950.29368,210970.00859,202738.398434,12910.0,1.81
2025-04-17,208646.118648,210018.053674,211921.963506,205622.261856,12500.0,-0.32
2025-04-21,204138.332134,208170.14119,210858.013894,202878.391804,10470.0,-2.16
2025-04-22,208730.11467,205258.279094,210270.04174,202990.3865,11580.0,2.25
2025-04-23,216009.76991,210270.04174,218697.642614,209710.06826,14100.0,3.49
2025-04-24,223317.423824,215029.81631999998,223877.397304,213601.883946,14880.0,3.38
2025-04-25,223905.39597800002,222057.48349400001,229869.11354,221637.503384,17480.0,0.26
2025-04-28,229617.125474,221693.500732,230317.092324,220041.578966,13630.0,2.55
2025-04-29,223877.397304,229589.1268,234572.89077199998,222141.479516,14530.0,-2.5
2025-04-30,224409.37211,224101.386696,227965.20370800002,221861.492776,11810.0,0.24
2025-05-01,215393.79908199998,223457.417194,223597.410564,214133.85875199997,14290.0,-4.02
2025-05-02,215813.779192,216541.744716,219929.58427,213769.87599,10040.0,0.19
2025-05-05,217409.70361,214133.85875199997,219509.60416,212537.934334,8160.0,0.74
2025-05-06,218305.661178,216177.76195400002,220629.55112,215085.81366800002,9960.0,0.41
2025-05-07,215085.81366800002,218025.67443800002,220209.57100999999,214189.8561,10780.0,-1.47
2025-05-08,216905.72747800002,215925.77388800003,217241.71156599998,214021.864056,8220.0,0.85
2025-05-09,217129.71687,216513.74604199998,219061.62537599998,215701.78449599998,9490.0,0.1
2025-05-12,208842.109366,217269.71024,218445.65454800002,208450.12793,18730.0,-3.82
2025-05-13,215505.79377800002,212789.9224,212789.9224,212789.9224,30.0,3.19
2025-05-14,209402.082846,212089.95554999998,212089.95554999998,209290.08815,30.0,-2.83
2025-05-15,215561.791126,209990.055,214469.84284,209990.055,20.0,2.94
2025-05-16,210690.02185,215113.812342,215113.812342,210354.037762,110.0,-2.26
2025-05-19,210634.024502,211585.979418,211977.960854,211585.979418,30.0,-0.03
2025-05-20,206798.206164,209430.08152,212369.94229,206182.23533599998,9930.0,-1.82
2025-05-21,207358.17964400002,207190.1876,210102.049696,205174.283072,7630.0,0.27
2025-05-22,202010.43291,206322.228706,206322.228706,201142.474016,14750.0,-2.58
2025-05-23,202150.42627999999,202542.407716,203270.37324,198930.57877,10660.0,0.07
2025-05-27,202542.407716,201086.47666800002,204306.324178,199098.570814,12120.0,0.19
2025-05-28,197082.666286,201142.474016,201618.451474,196074.71402199997,15420.0,-2.7
2025-05-29,195094.76043199998,197642.63976599998,200078.524404,194394.79358199998,13380.0,-1.01
2025-05-30,191762.91822599998,195206.75512800002,196550.69148,191062.95137599998,14940.0,-1.71
2025-06-02,192882.86518599998,190614.97259199998,194450.79093,189523.02430599998,16730.0,0.58
2025-06-03,190866.96065800003,191650.92353,192658.875794,188459.074694,13970.0,-1.05
2025-06-04,193834.820102,190866.96065800003,194702.77899599998,190138.995134,12780.0,1.55
2025-06-05,201450.45943,194954.767062,202514.40904199998,194618.782974,20190.0,3.93
2025-06-06,200498.504514,202850.39313,210774.017872,199518.550924,25710.0,-0.47
2025-06-09,201254.46871199997,198706.589378,202626.40373800002,197362.65302599999,19180.0,0.38
2025-06-10,197698.637114,201394.46208199998,207414.176992,196886.675568,21690.0,-1.77
2025-06-11,195206.75512800002,197978.623854,199546.549598,194506.78827800002,15310.0,-1.26
2025-06-12,193358.84264400002,194422.792256,195738.729934,192238.89568400002,20100.0,-0.95
2025-06-13,193750.82408,192210.89701,194982.765736,187199.134364,24240.0,0.2
2025-06-16,190530.97657,193694.826732,195878.723304,189971.00308999998,13760.0,-1.66
2025-06-17,186163.183426,191846.91424800002,192658.875794,185127.232488,18700.0,-2.29
2025-06-18,180479.452604,185015.237792,185463.216576,178099.565314,21660.0,-3.05
2025-06-20,176419.644874,180787.43801800002,184035.28420199998,174627.72973800002,18790.0,-2.25
2025-06-23,182859.339894,174459.737694,183419.313374,174459.737694,15880.0,3.65
2025-06-24,174347.742998,182551.35448,182551.35448,174151.75228,17650.0,-4.65
2025-06-25,170511.92466,177791.5799,180647.444648,168328.02808800002,21730.0,-2.2
2025-06-26,171155.89416199998,170399.929964,172611.82521,168971.99758999998,11130.0,0.38
2025-06-27,170091.94455,170651.91803,171939.85703400002,164156.22566199998,14740.0,-0.62
2025-06-30,168048.041348,169615.96709199998,172107.849078,166620.108974,11580.0,-1.2
2025-07-01,163484.257486,167096.08643199998,167992.044,161272.36224,16070.0,-2.72
2025-07-02,163064.27737599998,162420.307874,163652.24953,156568.58500800002,18320.0,-0.26
2025-07-03,162168.319808,162392.3092,164632.20312,159200.460364,11060.0,-0.55
2025-07-07,155812.62081,161048.372848,162028.32643800002,155420.639374,16730.0,-3.92
2025-07-08,159928.425888,156232.60092,160348.405998,155252.64733,15700.0,2.64
2025-07-09,159060.46699400002,159648.439148,161384.356936,157464.54257599998,12450.0,-0.54
2025-07-10,161160.367544,156036.61020199998,164940.18853400002,155448.63804800002,21640.0,1.32
2025-07-11,160432.40202,161664.343676,166648.107648,159620.440474,16560.0,-0.45
2025-07-14,169027.99493800002,160656.391412,170035.94720199998,160628.39273800002,20550.0,5.36
2025-07-15,168888.001568,168888.001568,168888.001568,168888.001568,12380.0,-0.08
2025-07-16,176139.658134,175019.711174,175019.711174,175019.711174,10.0,4.29
2025-07-17,174991.7125,174991.7125,174991.7125,174991.7125,13300.0,-0.65
2025-07-18,172975.80797199998,172975.80797199998,172975.80797199998,172975.80797199998,11400.0,-1.15
2025-07-21,166452.11693,166452.11693,166452.11693,166452.11693,13130.0,-3.77
2025-07-22,165948.140798,163484.257486,167180.08245400002,160012.42191,11510.0,-0.3
2025-07-23,168748.00819800003,166816.099692,169391.9777,163988.233618,10600.0,1.69
2025-07-24,170707.915378,167572.06389,172023.853056,167124.08510599998,10890.0,1.16
2025-07-25,166620.108974,170791.9114,172163.846426,166452.11693,10080.0,-2.39
2025-07-28,168943.99891599998,167992.044,171351.88488,167320.075824,12050.0,1.39
2025-07-29,166032.13681999999,168692.01085,168971.99758999998,161804.337046,15270.0,-1.72
2025-07-30,164296.219032,166676.10632199998,168999.99626400002,162700.294614,12570.0,-1.05
2025-07-31,165640.155384,166312.12356,170007.948528,164660.201794,12200.0,0.82
2025-08-01,159144.463016,164688.20046800002,166340.122234,158836.477602,15430.0,-3.92
2025-08-04,161580.347654,160768.386108,164660.201794,160180.41395400002,13110.0,1.53
2025-08-05,167264.078476,161972.32908999998,167768.054608,161300.36091400002,16400.0,3.52
2025-08-06,164296.219032,166620.108974,168076.04002199997,163540.254834,14570.0,-1.77
2025-08-07,166760.102344,166424.118256,167628.06123800002,163792.2429,18680.0,1.5
2025-08-08,173227.796038,166760.102344,173563.780126,166760.102344,27800.0,3.88
2025-08-11,175859.671394,167992.044,177847.57724800002,167516.066542,32619.999999999996,1.52
2025-08-12,172639.823884,176251.65283,179359.50564400002,170063.94587599998,21360.0,-1.83
2025-08-13,175075.70852199997,173731.77217,177847.57724800002,173115.801342,23610.0,1.41
2025-08-14,178463.548076,175215.70189199998,179751.48708,172891.81195,19760.0,1.94
2025-08-15,187143.137016,179247.510948,188599.068064,178183.56133599998,23840.0,4.86
2025-08-18,188179.08795400002,187479.121104,190166.993808,182299.36641400002,21840.0,0.55
2025-08-19,195458.743194,189299.03491400002,197138.663634,189047.046848,24000.0,3.87
2025-08-20,197922.626506,196018.716674,200358.51114400002,193470.83734,26470.0,1.26
2025-08-21,204390.3202,197474.647722,204950.29368,196690.68485,20440.0,3.27
2025-08-22,211837.967484,204334.32285199998,213041.910466,202906.39047800002,19040.0,3.64
2025-08-25,211529.98207,211753.971462,216765.734108,209794.06428199998,14730.0,-0.15
2025-08-26,208478.126604,210018.053674,210718.020524,203774.349372,17500.0,-1.44
2025-08-27,215757.781844,207862.155776,216457.748694,204278.325504,19180.0,3.49
2025-08-28,211389.9887,214469.84284,219117.62272400002,209822.06295599998,18440.0,-2.02
2025-08-29,216205.76062800002,211669.97544,217661.691676,207778.159754,17720.0,2.28
2025-09-02,207386.17831800002,211165.999308,213853.87201199998,204670.30694,21610.0,-4.08
2025-09-03,209234.090802,207750.16108,212229.94892,206378.226054,12450.0,0.89
