"Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam"
"06/06/2025,358.05,362.25,376.4,356.3,25.71K,-0.47%,207364.09178100002"
"06/05/2025,359.75,348.15,361.65,347.55,20.19K,3.93%,208348.644095"
"06/04/2025,346.15,340.85,347.7,339.55,12.78K,1.55%,200472.22558299996"
"06/03/2025,340.85,342.25,344.05,336.55,13.97K,-1.05%,197402.73895700002"
"06/02/2025,344.45,340.4,347.25,338.45,16.73K,0.58%,199487.673269"
"05/30/2025,342.45,348.6,351.0,341.2,14.94K,-1.71%,198329.376429"
"05/29/2025,348.4,352.95,357.3,347.15,13.38K,-1.01%,201775.30952799995"
"05/28/2025,351.95,359.2,360.05,350.15,15.42K,-2.70%,203831.286419"
"05/27/2025,361.7,359.1,364.85,355.55,12.12K,0.19%,209477.983514"
"05/23/2025,361.0,361.7,363.0,355.25,10.66K,0.07%,209072.57962"
"05/22/2025,360.75,368.45,368.45,359.2,14.75K,-2.58%,208927.792515"
"05/21/2025,370.3,370.0,375.2,366.4,7.63K,0.27%,214458.659926"
"05/20/2025,369.3,374.0,379.25,368.2,9.93K,-1.82%,213879.511506"
"05/19/2025,376.15,377.85,378.55,377.85,0.03K,-0.03%,217846.678183"
"05/16/2025,376.25,384.15,384.15,375.65,0.11K,-2.26%,217904.59302499998"
"05/15/2025,384.95,375.0,383.0,375.0,0.02K,2.94%,222943.18427899995"
"05/14/2025,373.95,378.75,378.75,373.75,0.03K,-2.83%,216572.551659"
"05/13/2025,384.85,380.0,380.0,380.0,0.03K,3.19%,222885.26943699998"
"05/12/2025,372.95,388.0,390.1,372.25,18.73K,-3.82%,215993.40323899995"
"05/09/2025,387.75,386.65,391.2,385.2,9.49K,0.10%,224564.799855"
"05/08/2025,387.35,385.6,387.95,382.2,8.22K,0.85%,224333.14048700003"
"05/07/2025,384.1,389.35,393.25,382.5,10.78K,-1.47%,222450.90812200002"
"05/06/2025,389.85,386.05,394.0,384.1,9.96K,0.41%,225781.01153700004"
"05/05/2025,388.25,382.4,392.0,379.55,8.16K,0.74%,224854.37406500004"
"05/02/2025,385.4,386.7,392.75,381.75,10.04K,0.19%,223203.801068"
"05/01/2025,384.65,399.05,399.3,382.4,14.29K,-4.02%,222769.43975299998"
"04/30/2025,400.75,400.2,407.1,396.2,11.81K,0.24%,232093.729315"
"04/29/2025,399.8,410.0,418.9,396.7,14.53K,-2.50%,231543.538316"
"04/28/2025,410.05,395.9,411.3,392.95,13.63K,2.55%,237479.809621"
"04/25/2025,399.85,396.55,410.5,395.8,17.48K,0.26%,231572.495737"
